,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,employer,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,snippet,contacts
0,33084245,False,Data science/Machine Learning,,False,False,"{'id': '53', 'name': 'Краснодар', 'url': 'https://api.hh.ru/areas/53'}","{'from': 130000, 'to': 150000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Краснодар', 'street': 'микрорайон Черёмушки, Ставропольская улица', 'building': '45', 'description': None, 'lat': 45.017939, 'lng': 38.992659, 'raw': 'Краснодар, микрорайон Черёмушки, Ставропольская улица, 45', 'metro': None, 'metro_stations': [], 'id': '2993851'}",,,"{'id': '4251536', 'name': 'Нейрофреш', 'url': 'https://api.hh.ru/employers/4251536', 'alternate_url': 'https://hh.ru/employer/4251536', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4251536', 'trusted': True}",2019-09-13T17:32:14+0300,2019-09-13T17:32:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=33084245,,https://api.hh.ru/vacancies/33084245?host=hh.ru,https://hh.ru/vacancy/33084245,[],"{'requirement': 'Знания в области фотосъемки. Навыки проведения глубокого анализа данных. Понимание принципов построения нейронных сетей (сверточные нейронные сети, рекуррентные нейронные сети...', 'responsibility': 'Ищем программиста на задачу компьютерного зрения и машинного обучения. Прикладная область: детекция качества плодоовощной продукции по фото. Инфраструктура и бизнес...'}",
1,33208658,False,Data Scientist / Data Science / engineer of machine learning (deep learning),,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 120000, 'to': 150000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,"{'id': '4099699', 'name': 'Art Mind Technologies', 'url': 'https://api.hh.ru/employers/4099699', 'alternate_url': 'https://hh.ru/employer/4099699', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4099699', 'trusted': True}",2019-09-13T20:52:51+0300,2019-09-13T20:52:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=33208658,,https://api.hh.ru/vacancies/33208658?host=hh.ru,https://hh.ru/vacancy/33208658,[],"{'requirement': 'Обязательно: Сильная математическая подготовка. Опыт реализации моделей DeepLearning для коммерческих проектов. Глубокое понимание работы CUDA, TensorFlow и Keras. ', 'responsibility': 'Работаем над продуктом, помогающим формировать дизайн помещения на базе технологий искусственного интеллекта. Много работы с графикой и серьезной математикой. '}",
2,33383121,False,"Младший специалист по Data Science, Machine Learning, AI",,False,False,"{'id': '66', 'name': 'Нижний Новгород', 'url': 'https://api.hh.ru/areas/66'}","{'from': 40000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,"{'id': '723714', 'name': 'ZennoLab', 'url': 'https://api.hh.ru/employers/723714', 'alternate_url': 'https://hh.ru/employer/723714', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/2750763.png', '240': 'https://hhcdn.ru/employer-logo/2750764.png', 'original': 'https://hhcdn.ru/employer-logo-original/577373.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=723714', 'trusted': True}",2019-09-12T11:29:08+0300,2019-09-12T11:29:08+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=33383121,,https://api.hh.ru/vacancies/33383121?host=hh.ru,https://hh.ru/vacancy/33383121,[],"{'requirement': 'Интересующегося ИИ, нейросетями, сбором и обработкой Big <highlighttext>Data</highlighttext>. С опытом программирования (желательно на .Net C#). Знание OpenCV. Опыт работы с...', 'responsibility': 'Сбор и подготовка данных из разных источников. Выбор архитектуры и обучение нейросетей на современных фреймворках. Разработка собственных алгоритмов ИИ.'}",
3,33483920,False,Data Scientist / Machine Learning Developer,,False,False,"{'id': '98', 'name': 'Ульяновск', 'url': 'https://api.hh.ru/areas/98'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Ульяновск', 'street': 'улица Свободы', 'building': '10', 'description': None, 'lat': 54.303528, 'lng': 48.388435, 'raw': 'Ульяновск, улица Свободы, 10', 'metro': None, 'metro_stations': [], 'id': '2813796'}",,,"{'id': '2433177', 'name': 'ANY.RUN', 'url': 'https://api.hh.ru/employers/2433177', 'alternate_url': 'https://hh.ru/employer/2433177', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/1843287.png', '90': 'https://hhcdn.ru/employer-logo/1843286.png', 'original': 'https://hhcdn.ru/employer-logo-original/350255.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2433177', 'trusted': True}",2019-09-12T08:44:45+0300,2019-09-12T08:44:45+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=33483920,,https://api.hh.ru/vacancies/33483920?host=hh.ru,https://hh.ru/vacancy/33483920,[],"{'requirement': 'Хорошую математическую подготовку: знание методов статистического анализа данных и навыки построения математических моделей. Знание алгоритмов машинного обучения. Понимание принципов постановки...', 'responsibility': 'Участвовать во внедрении разработанных решений в продукт. Анализировать данные и искать закономерности в миллионах системных сообщений, файлов, изображений. '}","{'name': 'Дубинина Наталия', 'email': 'n.dubinina@any.run', 'phones': []}"
4,33310553,False,Junior machine learning engineer,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 50000, 'to': 130000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,"{'id': '3828175', 'name': 'Tech5', 'url': 'https://api.hh.ru/employers/3828175', 'alternate_url': 'https://hh.ru/employer/3828175', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/2884045.png', '90': 'https://hhcdn.ru/employer-logo/2884044.png', 'original': 'https://hhcdn.ru/employer-logo-original/610723.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3828175', 'trusted': True}",2019-09-13T17:26:57+0300,2019-09-13T17:26:57+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=33310553,,https://api.hh.ru/vacancies/33310553?host=hh.ru,https://hh.ru/vacancy/33310553,[],"{'requirement': 'Начинающий специалист в области deep <highlighttext>learning</highlighttext> (<highlighttext>machine</highlighttext> vision, image recognition, face recognition) или выпускник с профильным образованием и хорошей математической...', 'responsibility': None}",
5,33582436,False,Data Science,"{'id': '3529-3529-prof', 'name': 'Сбербанк для экспертов'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,"{'id': '3529', 'name': 'Сбербанк', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/860036.jpeg', '240': 'https://hhcdn.ru/employer-logo/860037.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/231926.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'trusted': True}",2019-09-13T16:08:02+0300,2019-09-13T16:08:02+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=33582436,,https://api.hh.ru/vacancies/33582436?host=hh.ru,https://hh.ru/vacancy/33582436,[],"{'requirement': None, 'responsibility': 'Развитие текущих и разработка новых моделей выявления мошенничества (машинное обучение, применение стэка BigData). Автоматизации сопутствующих процессов (например, классификация по типам...'}",
6,33273799,False,Senior/Lead Machine Learning Engineer,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,"{'id': '3343157', 'name': 'Neurus', 'url': 'https://api.hh.ru/employers/3343157', 'alternate_url': 'https://hh.ru/employer/3343157', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/2504844.png', '240': 'https://hhcdn.ru/employer-logo/2504845.png', 'original': 'https://hhcdn.ru/employer-logo-original/515816.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3343157', 'trusted': True}",2019-09-12T11:52:26+0300,2019-09-12T11:52:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=33273799,,https://api.hh.ru/vacancies/33273799?host=hh.ru,https://hh.ru/vacancy/33273799,[],"{'requirement': 'Master&#39;s degree in Applied Mathematics or Computer <highlighttext>Science</highlighttext>. - Technical development leader experience. - Experience with deep <highlighttext>learning</highlighttext> frameworks Pytorch/Tensorflow...', 'responsibility': 'We are using computer vision and <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext> technologies to level up the business to a new technological stage. '}",
7,31912706,False,Machine Learning / Deep Learning engineer,,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'description': None, 'lat': None, 'lng': None, 'raw': None, 'metro': {'station_name': 'Чернышевская', 'line_name': 'Кировско-Выборгская', 'station_id': '14.198', 'line_id': '14', 'lat': 59.94453, 'lng': 30.359919}, 'metro_stations': [{'station_name': 'Чернышевская', 'line_name': 'Кировско-Выборгская', 'station_id': '14.198', 'line_id': '14', 'lat': 59.94453, 'lng': 30.359919}], 'id': '749727'}",,,"{'id': '102501', 'name': 'LG Electronics Inc.', 'url': 'https://api.hh.ru/employers/102501', 'alternate_url': 'https://hh.ru/employer/102501', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/405451.png', '90': 'https://hhcdn.ru/employer-logo/332594.png', 'original': 'https://hhcdn.ru/employer-logo-original/209212.gif'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=102501', 'trusted': True}",2019-09-13T12:46:57+0300,2019-09-13T12:46:57+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=31912706,,https://api.hh.ru/vacancies/31912706?host=hh.ru,https://hh.ru/vacancy/31912706,[],"{'requirement': 'Sufficient skills in Mathematics (matrix algebra, CV geometry, statistics/probability theory). Familiar with Deep <highlighttext>Learning</highlighttext> framework (Tensorflow, PyTorch, etc.). ', 'responsibility': 'Computer Vision, OpenCV. SLAM. Explore, develop, prototype, test solutions for robot self-localization and navigation. Optimize for achieving the performance...'}",
8,33574995,False,Machine Learning Engineer,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Новосибирск', 'street': 'улица Николаева', 'building': '11/5', 'description': None, 'lat': 54.858699, 'lng': 83.111519, 'raw': 'Новосибирск, улица Николаева, 11/5', 'metro': None, 'metro_stations': [], 'id': '3099538'}",,,"{'id': '4308205', 'name': 'Persona.ly', 'url': 'https://api.hh.ru/employers/4308205', 'alternate_url': 'https://hh.ru/employer/4308205', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3177909.png', '90': 'https://hhcdn.ru/employer-logo/3177908.png', 'original': 'https://hhcdn.ru/employer-logo-original/684194.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4308205', 'trusted': False}",2019-09-13T12:01:50+0300,2019-09-13T12:01:50+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=33574995,,https://api.hh.ru/vacancies/33574995?host=hh.ru,https://hh.ru/vacancy/33574995,[],"{'requirement': 'Very strong Python coding experience. Previous experience in working with high-load systems. AWS experience - EMR, Sagemaker, Athena, S3. ', 'responsibility': None}","{'name': 'Анойкин Денис', 'email': 'hr@persona.ly', 'phones': [{'comment': None, 'city': '913', 'number': '9122448', 'country': '7'}]}"
9,33573774,False,Machine learning - инженер,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 60000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,"{'id': '43883', 'name': 'Beorg', 'url': 'https://api.hh.ru/employers/43883', 'alternate_url': 'https://hh.ru/employer/43883', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/467891.png', '240': 'https://hhcdn.ru/employer-logo/2313421.png', '90': 'https://hhcdn.ru/employer-logo/2313420.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=43883', 'trusted': True}",2019-09-13T11:26:27+0300,2019-09-13T11:26:27+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=33573774,,https://api.hh.ru/vacancies/33573774?host=hh.ru,https://hh.ru/vacancy/33573774,[],"{'requirement': 'Владение Python3. - Понимание принципов работы нейронных сетей: сверточных, рекурентных, механизма attеntion. - Опыт написания моделей на TensorFlow 1.х. - ', 'responsibility': 'Разработка и обучение нейронных сетей для: классификации изображений, распознавания текста и детекции объектов на изображениях. - Разработка микросервисов, запускающих обученные модели.'}",
